ID,CPMK 012,CPMK 031,CPMK 071,CPMK 072	
2101020014,100,90,100,100	
2101020024,100,20,70,70	
2101020048,100,90,100,100	
2101020058,100,90,100,100	
2101020074,90,60,70,70	
2101020092,100,20,70,70	
2101020103,0,0,0,0	
2101020104,90,60,70,70	
2101020117,90,60,70,70	
2201020001,100,60,60,60	
2201020002,100,80,70,70	
2201020010,100,80,90,90	
2201020014,100,60,60,60	
2201020015,100,60,60,60	
2201020018,100,70,100,100	
2201020019,100,80,90,90	
2201020022,90,20,50,50	
2201020026,100,80,70,70	
2201020032,100,80,90,90	
2201020039,100,80,70,70	
2201020041,100,80,90,90	
2201020047,100,75,50,50	
2201020048,100,70,100,100	
2201020057,100,75,50,50	
2201020063,100,76,100,100	
2201020065,100,75,85,85	
2201020066,100,60,50,50	
2201020067,100,80,90,90	
2201020070,100,75,100,100	
2201020074,100,60,50,50	
2201020075,100,80,90,90	
2201020083,100,80,90,90	
2201020086,0,0,0,0	
2201020090,100,75,100,100	
2201020091,100,80,90,90	
2201020092,100,60,50,50	
2201020093,100,75,85,85	
2201020094,100,80,90,90	
2201020095,100,75,85,85	
2201020098,100,75,50,50	
2201020099,100,80,90,90	
2201020100,100,80,70,70	
2201020103,100,70,100,100	
2201020104,100,80,70,70	
2201020105,100,70,50,50	
2201020106,90,50,40,40	
2201020109,100,80,70,70	
2201020112,90,50,40,40	
2201020116,90,50,40,40	
2201020117,100,70,50,50	
2201020118,100,80,90,90	
2201020122,100,70,50,50	
2201020123,90,20,50,50	
